id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,dismissal_kind,player_of_match,umpire1,umpire2,umpire3,venue
20,2017,Rajkot,18-04-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,,CH Gayle,S Ravi,VK Sharma,,Saurashtra Cricket Association Stadium
21,2017,Hyderabad,19-04-2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,15,0,,KS Williamson,CB Gaffaney,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal"
22,2017,Indore,20-04-2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,,JC Buttler,M Erasmus,C Shamshuddin,,Holkar Cricket Stadium
23,2017,Kolkata,21-04-2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,4,,SK Raina,CB Gaffaney,Nitin Menon,,Eden Gardens
24,2017,Mumbai,22-04-2017,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,14,0,,MJ McClenaghan,A Nand Kishore,S Ravi,,Wankhede Stadium
25,2017,Pune,22-04-2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,6,,MS Dhoni,AY Dandekar,A Deshmukh,,Maharashtra Cricket Association Stadium
26,2017,Rajkot,23-04-2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,26,0,,HM Amla,AK Chaudhary,M Erasmus,,Saurashtra Cricket Association Stadium
27,2017,Kolkata,23-04-2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,82,0,,NM Coulter-Nile,CB Gaffaney,CK Nandan,,Eden Gardens
28,2017,Mumbai,24-04-2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,3,0,,BA Stokes,A Nand Kishore,S Ravi,,Wankhede Stadium
29,2017,Pune,26-04-2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,,RV Uthappa,AY Dandekar,NJ Llong,,Maharashtra Cricket Association Stadium
30,2017,Bangalore,27-04-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,,AJ Tye,AK Chaudhary,C Shamshuddin,,M Chinnaswamy Stadium
31,2017,Kolkata,28-04-2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,,G Gambhir,NJ Llong,S Ravi,,Eden Gardens
32,2017,Chandigarh,28-04-2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,26,0,,Rashid Khan,Nitin Menon,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
33,2017,Pune,29-04-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,61,0,,LH Ferguson,KN Ananthapadmanabhan,M Erasmus,,Maharashtra Cricket Association Stadium
34,2017,Rajkot,29-04-2017,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,0,0,,KH Pandya,AK Chaudhary,CB Gaffaney,,Saurashtra Cricket Association Stadium
35,2017,Chandigarh,30-04-2017,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,10,,Sandeep Sharma,YC Barde,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
36,2017,Hyderabad,30-04-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,48,0,,DA Warner,AY Dandekar,S Ravi,,"Rajiv Gandhi International Stadium, Uppal"
37,2017,Mumbai,01-05-2017,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,0,5,,RG Sharma,AK Chaudhary,CB Gaffaney,,Wankhede Stadium
38,2017,Pune,01-05-2017,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,5,,BA Stokes,M Erasmus,C Shamshuddin,,Maharashtra Cricket Association Stadium
39,2017,Delhi,02-05-2017,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,,Mohammed Shami,YC Barde,Nitin Menon,,Feroz Shah Kotla
40,2017,Kolkata,03-05-2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,4,,RA Tripathi,KN Ananthapadmanabhan,A Nand Kishore,,Eden Gardens
41,2017,Delhi,04-05-2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,,RR Pant,M Erasmus,Nitin Menon,,Feroz Shah Kotla
42,2017,Bangalore,05-05-2017,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,19,0,,Sandeep Sharma,CB Gaffaney,C Shamshuddin,,M Chinnaswamy Stadium
43,2017,Hyderabad,06-05-2017,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiant,12,0,,JD Unadkat,KN Ananthapadmanabhan,AK Chaudhary,,"Rajiv Gandhi International Stadium, Uppal"
44,2017,Delhi,06-05-2017,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,146,0,,LMP Simmons,Nitin Menon,CK Nandan,,Feroz Shah Kotla
45,2017,Bangalore,07-05-2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,,SP Narine,AY Dandekar,C Shamshuddin,,M Chinnaswamy Stadium
46,2017,Chandigarh,07-05-2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,,DR Smith,A Nand Kishore,VK Sharma,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
47,2017,Hyderabad,08-05-2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,,S Dhawan,KN Ananthapadmanabhan,M Erasmus,,"Rajiv Gandhi International Stadium, Uppal"
48,2017,Chandigarh,09-05-2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,14,0,,MM Sharma,A Nand Kishore,S Ravi,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
49,2017,Kanpur,10-05-2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,2,,SS Iyer,YC Barde,AK Chaudhary,,Green Park
50,2017,Mumbai,11-05-2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,7,0,,WP Saha,A Deshmukh,A Nand Kishore,,Wankhede Stadium
51,2017,Delhi,12-05-2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,Delhi Daredevils,7,0,,KK Nair,KN Ananthapadmanabhan,CK Nandan,,Feroz Shah Kotla
52,2017,Kanpur,13-05-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,,Mohammed Siraj,AK Chaudhary,Nitin Menon,,Green Park
53,2017,Kolkata,13-05-2017,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,9,0,,AT Rayudu,A Nand Kishore,S Ravi,,Eden Gardens
54,2017,Pune,14-05-2017,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,9,,JD Unadkat,AY Dandekar,A Deshmukh,,Maharashtra Cricket Association Stadium
55,2017,Delhi,14-05-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,10,0,,HV Patel,CK Nandan,C Shamshuddin,,Feroz Shah Kotla
56,2017,Mumbai,16-05-2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,20,0,,Washington Sundar,S Ravi,C Shamshuddin,,Wankhede Stadium
57,2017,Bangalore,17-05-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0,7,,NM Coulter-Nile,AK Chaudhary,Nitin Menon,,M Chinnaswamy Stadium
58,2017,Bangalore,19-05-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,,KV Sharma,NJ Llong,Nitin Menon,,M Chinnaswamy Stadium
59,2017,Hyderabad,21-05-2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,,KH Pandya,NJ Llong,S Ravi,,"Rajiv Gandhi International Stadium, Uppal"
60,2008,Bangalore,18-04-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,140,0,,BB McCullum,Asad Rauf,RE Koertzen,,M Chinnaswamy Stadium
61,2008,Chandigarh,19-04-2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,,MEK Hussey,MR Benson,SL Shastri,,"Punjab Cricket Association Stadium, Mohali"
62,2008,Delhi,19-04-2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,9,,MF Maharoof,Aleem Dar,GA Pratapkumar,,Feroz Shah Kotla
63,2008,Mumbai,20-04-2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,5,,MV Boucher,SJ Davis,DJ Harper,,Wankhede Stadium
64,2008,Kolkata,20-04-2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,0,5,,DJ Hussey,BF Bowden,K Hariharan,,Eden Gardens
65,2008,Jaipur,21-04-2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,6,caught,SR Watson,Aleem Dar,RB Tiffin,,Sawai Mansingh Stadium
66,2008,Hyderabad,22-04-2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,9,,V Sehwag,IL Howell,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal"
67,2008,Chennai,23-04-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,6,0,,ML Hayden,DJ Harper,GA Pratapkumar,,"MA Chidambaram Stadium, Chepauk"
68,2008,Hyderabad,24-04-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,,YK Pathan,Asad Rauf,MR Benson,,"Rajiv Gandhi International Stadium, Uppal"
69,2008,Chandigarh,25-04-2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,66,0,,KC Sangakkara,Aleem Dar,AM Saheba,,"Punjab Cricket Association Stadium, Mohali"
70,2008,Bangalore,26-04-2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,,SR Watson,MR Benson,IL Howell,,M Chinnaswamy Stadium
71,2008,Chennai,26-04-2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,,JDP Oram,BF Bowden,AV Jayaprakash,,"MA Chidambaram Stadium, Chepauk"
72,2008,Mumbai,27-04-2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,10,,AC Gilchrist,Asad Rauf,SL Shastri,,Dr DY Patil Sports Academy
73,2008,Chandigarh,27-04-2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,0,4,,SM Katich,RE Koertzen,I Shivram,,"Punjab Cricket Association Stadium, Mohali"
74,2008,Bangalore,28-04-2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,13,0,,MS Dhoni,BR Doctrove,RB Tiffin,,M Chinnaswamy Stadium
75,2008,Kolkata,29-04-2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,,ST Jayasuriya,BF Bowden,AV Jayaprakash,,Eden Gardens
76,2008,Delhi,30-04-2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,10,0,,GD McGrath,Aleem Dar,I Shivram,,Feroz Shah Kotla
77,2008,Hyderabad,01-05-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,,SE Marsh,BR Doctrove,RB Tiffin,,"Rajiv Gandhi International Stadium, Uppal"
78,2008,Jaipur,01-05-2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45,0,,SA Asnodkar,RE Koertzen,GA Pratapkumar,,Sawai Mansingh Stadium
79,2008,Chennai,02-05-2008,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,8,,V Sehwag,BF Bowden,K Hariharan,,"MA Chidambaram Stadium, Chepauk"
80,2008,Hyderabad,25-05-2008,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,5,,R Vinay Kumar,Asad Rauf,RE Koertzen,,"Rajiv Gandhi International Stadium, Uppal"
81,2008,Chandigarh,03-05-2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kings XI Punjab,9,0,,IK Pathan,DJ Harper,I Shivram,,"Punjab Cricket Association Stadium, Mohali"
82,2008,Mumbai,04-05-2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,29,0,,SM Pollock,IL Howell,RE Koertzen,,Dr DY Patil Sports Academy
83,2008,Jaipur,04-05-2008,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,8,,Sohail Tanvir,Asad Rauf,AV Jayaprakash,,Sawai Mansingh Stadium
84,2008,Bangalore,05-05-2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,,S Sreesanth,SJ Davis,BR Doctrove,,M Chinnaswamy Stadium
85,2008,Chennai,06-05-2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,,AC Gilchrist,MR Benson,RB Tiffin,,"MA Chidambaram Stadium, Chepauk"
86,2008,Mumbai,07-05-2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,,A Nehra,DJ Harper,RE Koertzen,,Dr DY Patil Sports Academy
87,2008,Delhi,08-05-2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,,MS Dhoni,Aleem Dar,RB Tiffin,,Feroz Shah Kotla
88,2008,Kolkata,08-05-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,5,0,,SC Ganguly,Asad Rauf,IL Howell,,Eden Gardens
89,2008,Jaipur,09-05-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,,YK Pathan,MR Benson,AM Saheba,,Sawai Mansingh Stadium
90,2008,Bangalore,28-05-2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,,CRD Fernando,BF Bowden,AV Jayaprakash,,M Chinnaswamy Stadium
91,2008,Chennai,10-05-2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Chennai Super Kings,18,0,,L Balaji,AV Jayaprakash,BG Jerling,,"MA Chidambaram Stadium, Chepauk"
92,2008,Hyderabad,11-05-2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,,SC Ganguly,IL Howell,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal"
93,2008,Jaipur,11-05-2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,,SR Watson,SJ Davis,RE Koertzen,,Sawai Mansingh Stadium
94,2008,Chandigarh,12-05-2008,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,9,,SE Marsh,BR Doctrove,I Shivram,,"Punjab Cricket Association Stadium, Mohali"
95,2008,Kolkata,13-05-2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,caught,Shoaib Akhtar,Asad Rauf,IL Howell,,Eden Gardens
96,2008,Mumbai,14-05-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,,ST Jayasuriya,BR Doctrove,AM Saheba,,Wankhede Stadium
97,2008,Chandigarh,28-05-2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,41,0,,SE Marsh,SJ Davis,K Hariharan,,"Punjab Cricket Association Stadium, Mohali"
98,2008,Delhi,15-05-2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,,A Mishra,BG Jerling,GA Pratapkumar,,Feroz Shah Kotla
99,2008,Mumbai,16-05-2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,,SM Pollock,BR Doctrove,DJ Harper,,Wankhede Stadium
100,2008,Delhi,17-05-2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,1,Kings XI Punjab,6,0,,DPMD Jayawardene,AV Jayaprakash,RE Koertzen,,Feroz Shah Kotla
101,2008,Jaipur,17-05-2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,65,0,,GC Smith,BF Bowden,SL Shastri,,Sawai Mansingh Stadium
102,2008,Hyderabad,18-05-2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,25,0,,DJ Bravo,BR Doctrove,DJ Harper,,"Rajiv Gandhi International Stadium, Uppal"
103,2008,Kolkata,18-05-2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,3,0,,M Ntini,Asad Rauf,K Hariharan,,Eden Gardens
104,2008,Bangalore,19-05-2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,,SP Goswami,SJ Davis,GA Pratapkumar,,M Chinnaswamy Stadium
105,2008,Kolkata,20-05-2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,,YK Pathan,BG Jerling,RE Koertzen,,Eden Gardens
106,2008,Mumbai,21-05-2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,1,0,,SE Marsh,BF Bowden,GA Pratapkumar,,Wankhede Stadium
107,2008,Chennai,21-05-2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,14,0,,A Kumble,DJ Harper,I Shivram,,"MA Chidambaram Stadium, Chepauk"
108,2008,Chandigarh,23-05-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,,SE Marsh,Asad Rauf,SJ Davis,,"Punjab Cricket Association Stadium, Mohali"
109,2008,Delhi,24-05-2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,,KD Karthik,BF Bowden,K Hariharan,,Feroz Shah Kotla
110,2008,Chennai,24-05-2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,10,0,,JA Morkel,DJ Harper,SL Shastri,,"MA Chidambaram Stadium, Chepauk"
111,2008,Bangalore,03-05-2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,3,0,,P Kumar,BR Doctrove,SL Shastri,,M Chinnaswamy Stadium
112,2008,Kolkata,25-05-2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,3,,Umar Gul,SJ Davis,I Shivram,,Eden Gardens
113,2008,Jaipur,26-05-2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,,Sohail Tanvir,BF Bowden,K Hariharan,,Sawai Mansingh Stadium
114,2008,Hyderabad,27-05-2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Chennai Super Kings,0,7,,SK Raina,BG Jerling,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal"
115,2008,Mumbai,30-05-2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,105,0,,SR Watson,BF Bowden,RE Koertzen,,Wankhede Stadium
116,2008,Mumbai,31-05-2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,9,,M Ntini,Asad Rauf,DJ Harper,,Wankhede Stadium
117,2008,Mumbai,01-06-2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,bowled,YK Pathan,BF Bowden,RE Koertzen,,Dr DY Patil Sports Academy
118,2009,Cape Town,18-04-2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,19,0,,SR Tendulkar,BR Doctrove,K Hariharan,,Newlands
119,2009,Cape Town,18-04-2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,75,0,,R Dravid,BR Doctrove,RB Tiffin,,Newlands
120,2009,Cape Town,19-04-2009,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,1,Delhi Daredevils,0,10,,DL Vettori,MR Benson,SD Ranade,,Newlands
121,2009,Cape Town,19-04-2009,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Deccan Chargers,0,8,,RP Singh,MR Benson,BR Doctrove,,Newlands
122,2009,Port Elizabeth,20-04-2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,92,0,,M Muralitharan,BG Jerling,SJA Taufel,,St George's Park
123,2009,Durban,21-04-2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,11,0,,CH Gayle,DJ Harper,SD Ranade,,Kingsmead
124,2009,Cape Town,22-04-2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Deccan Chargers,24,0,,AC Gilchrist,M Erasmus,AM Saheba,,Newlands
